route,trip_id,Datetime,city,state,Latitude,Longitude
Portland_Los Angeles,Trip_1,2022-01-07 16:14:13.704572,Fresno,California,36.783,-119.7939
Dallas_Salt Lake City,Trip_1,2022-01-07 17:46:00.457219,Rawlins,Wyoming,41.7849,-107.2265
Chicago_Dallas,Trip_1,2022-01-08 01:16:49.124340,Oklahoma City,Oklahoma,35.4676,-97.5136
Portland_Los Angeles,Trip_1,2022-01-08 01:23:24.330552,Bakersfield,California,35.3529,-119.0359
San Francisco_Salt Lake City,Trip_1,2022-01-08 03:04:36.442642,Elko,Nevada,40.8381,-115.7678
Phoenix_San Antonio,Trip_1,2022-01-08 03:13:50.944580,San Antonio,Texas,29.4632,-98.5238
Chicago_Dallas,Trip_1,2022-01-08 08:19:20.659998,Tulsa,Oklahoma,36.1283,-95.9042
San Francisco_Salt Lake City,Trip_1,2022-01-08 13:35:15.229752,Winnemucca,Nevada,40.9645,-117.7247
Dallas_Salt Lake City,Trip_1,2022-01-08 14:15:45.697473,Rock Springs,Wyoming,41.5947,-109.2209
Phoenix_San Antonio,Trip_1,2022-01-08 15:00:07.996068,San Antonio,Texas,29.4632,-98.5238
Portland_Los Angeles,Trip_1,2022-01-08 17:58:25.011697,Santa Clarita,California,34.4175,-118.4964
Chicago_Dallas,Trip_1,2022-01-08 18:20:37.892629,Joplin,Missouri,37.0757,-94.5018
Phoenix_San Antonio,Trip_1,2022-01-08 23:32:28.596502,Boerne,Texas,29.7847,-98.7292
Chicago_Dallas,Trip_1,2022-01-08 23:50:59.503562,Springfield,Missouri,37.1943,-93.2916
Dallas_Salt Lake City,Trip_1,2022-01-08 23:57:01.943702,Evanston,Wyoming,41.2602,-110.9646
Portland_Los Angeles,Trip_1,2022-01-09 05:17:33.128668,Los Angeles,California,34.1141,-118.4068
Chicago_Dallas,Trip_1,2022-01-09 06:45:06.806454,Rolla,Missouri,37.9459,-91.7607
San Francisco_Salt Lake City,Trip_1,2022-01-09 12:04:43.494699,Fernley,Nevada,39.5627,-119.1906
Portland_Los Angeles,Trip_1,2022-01-09 12:38:22.741364,Los Angeles,California,34.1141,-118.4068
Chicago_Dallas,Trip_1,2022-01-09 12:51:30.608707,St. Louis,Missouri,38.6359,-90.2451
Phoenix_San Antonio,Trip_1,2022-01-09 12:59:35.548390,Kerrville,Texas,30.0398,-99.132
Dallas_Salt Lake City,Trip_1,2022-01-09 16:53:05.600162,Salt Lake City,Utah,40.7776,-111.9311
Phoenix_San Antonio,Trip_1,2022-01-09 17:22:27.532527,Junction,Texas,30.4906,-99.7726
Portland_Los Angeles,Trip_1,2022-01-09 17:28:33.661937,Santa Clarita,California,34.4175,-118.4964
Dallas_Salt Lake City,Trip_1,2022-01-09 20:15:00.921774,Salt Lake City,Utah,40.7776,-111.9311
Portland_Los Angeles,Trip_1,2022-01-09 22:41:51.563250,Bakersfield,California,35.3529,-119.0359
San Francisco_Salt Lake City,Trip_1,2022-01-09 22:54:59.584300,Reno,Nevada,39.5497,-119.8483
Phoenix_San Antonio,Trip_1,2022-01-10 02:49:38.121395,Sonora,Texas,30.5707,-100.6423
Chicago_Dallas,Trip_1,2022-01-10 03:27:46.315520,Springfield,Illinois,39.7709,-89.654
Chicago_Dallas,Trip_1,2022-01-10 08:07:23.343468,Bloomington,Illinois,40.4757,-88.9703
Portland_Los Angeles,Trip_1,2022-01-10 09:33:42.145088,Fresno,California,36.783,-119.7939
Dallas_Salt Lake City,Trip_1,2022-01-10 13:54:28.352658,Evanston,Wyoming,41.2602,-110.9646
San Francisco_Salt Lake City,Trip_1,2022-01-10 14:00:07.583299,Truckee,California,39.3455,-120.1848
Phoenix_San Antonio,Trip_1,2022-01-10 16:02:55.094841,Ozona,Texas,30.7074,-101.206
Portland_Los Angeles,Trip_1,2022-01-10 23:04:49.076822,Merced,California,37.3057,-120.4779
Phoenix_San Antonio,Trip_1,2022-01-10 23:40:34.236237,Fort Stockton,Texas,30.8926,-102.8842
Dallas_Salt Lake City,Trip_1,2022-01-11 02:07:33.898997,Rock Springs,Wyoming,41.5947,-109.2209
Chicago_Dallas,Trip_2,2022-01-11 03:09:59.458893,Chicago,Illinois,41.8375,-87.6866
Chicago_Dallas,Trip_1,2022-01-11 03:09:59.458893,Chicago,Illinois,41.8375,-87.6866
San Francisco_Salt Lake City,Trip_1,2022-01-11 05:30:50.018733,Auburn,California,38.895,-121.0777
San Francisco_Salt Lake City,Trip_1,2022-01-11 08:26:28.960592,Sacramento,California,38.5677,-121.4685
Phoenix_San Antonio,Trip_1,2022-01-11 11:38:29.056248,Van Horn,Texas,31.0407,-104.8341
Chicago_Dallas,Trip_2,2022-01-11 12:15:42.567732,Bloomington,Illinois,40.4757,-88.9703
San Francisco_Salt Lake City,Trip_1,2022-01-11 12:47:50.207867,Davis,California,38.5553,-121.737
Portland_Los Angeles,Trip_1,2022-01-11 15:08:27.617435,Modesto,California,37.6375,-121.0028
Portland_Los Angeles,Trip_1,2022-01-11 18:44:22.376268,Stockton,California,37.9765,-121.3109
Chicago_Dallas,Trip_2,2022-01-11 19:06:26.340459,Springfield,Illinois,39.7709,-89.654
Phoenix_San Antonio,Trip_1,2022-01-11 20:29:08.606585,El Paso,Texas,31.8476,-106.43
Dallas_Salt Lake City,Trip_1,2022-01-11 22:18:07.380754,Rawlins,Wyoming,41.7849,-107.2265
Phoenix_San Antonio,Trip_1,2022-01-12 03:09:18.712821,Las Cruces,New Mexico,32.3265,-106.7893
Phoenix_San Antonio,Trip_1,2022-01-12 09:28:39.577838,Deming,New Mexico,32.2631,-107.7525
Portland_Los Angeles,Trip_1,2022-01-12 10:07:43.185910,Sacramento,California,38.5677,-121.4685
Chicago_Dallas,Trip_2,2022-01-12 13:12:34.119454,St. Louis,Missouri,38.6359,-90.2451
Dallas_Salt Lake City,Trip_1,2022-01-12 14:33:25.035973,Laramie,Wyoming,41.3099,-105.6085
Portland_Los Angeles,Trip_1,2022-01-12 21:44:41.079973,Chico,California,39.7578,-121.8161
Dallas_Salt Lake City,Trip_1,2022-01-13 00:53:47.637870,Cheyenne,Wyoming,41.135,-104.7902
Portland_Los Angeles,Trip_1,2022-01-13 03:22:22.128655,Redding,California,40.5698,-122.365
Phoenix_San Antonio,Trip_1,2022-01-13 03:51:25.052898,Lordsburg,New Mexico,32.3438,-108.7021
San Francisco_Salt Lake City,Trip_1,2022-01-13 04:53:32.805941,Oakland,California,37.7904,-122.2166
Chicago_Dallas,Trip_2,2022-01-13 07:52:29.108383,Springfield,Missouri,37.1943,-93.2916
Phoenix_San Antonio,Trip_1,2022-01-13 13:07:03.610878,Willcox,Arizona,32.2515,-109.8359
San Francisco_Salt Lake City,Trip_1,2022-01-13 17:03:55.111199,San Francisco,California,37.7558,-122.4449
San Francisco_Salt Lake City,Trip_2,2022-01-13 17:03:55.111199,San Francisco,California,37.7558,-122.4449
Portland_Los Angeles,Trip_1,2022-01-13 17:52:40.758542,Yreka,California,41.7291,-122.6312
Dallas_Salt Lake City,Trip_1,2022-01-13 20:27:31.554459,Denver,Colorado,39.762,-104.8758
Chicago_Dallas,Trip_2,2022-01-13 20:31:13.899928,Joplin,Missouri,37.0757,-94.5018
Portland_Los Angeles,Trip_1,2022-01-13 21:41:49.249341,Ashland,Oregon,42.1905,-122.6992
Portland_Los Angeles,Trip_1,2022-01-14 08:33:37.941825,Medford,Oregon,42.3372,-122.854
Phoenix_San Antonio,Trip_1,2022-01-14 16:25:44.815558,Tucson,Arizona,32.1541,-110.8787
Chicago_Dallas,Trip_2,2022-01-14 18:22:18.335394,Tulsa,Oklahoma,36.1283,-95.9042
Portland_Los Angeles,Trip_1,2022-01-14 18:39:47.181357,Roseburg,Oregon,43.2231,-123.352
Dallas_Salt Lake City,Trip_1,2022-01-14 19:06:57.031016,Colby,Kansas,39.3848,-101.0452
San Francisco_Salt Lake City,Trip_2,2022-01-14 22:38:19.667618,Fairfield,California,38.2583,-122.0335
Portland_Los Angeles,Trip_1,2022-01-15 05:46:09.868033,Eugene,Oregon,44.0564,-123.1174
San Francisco_Salt Lake City,Trip_2,2022-01-15 10:09:37.431015,Vacaville,California,38.3587,-121.9673
Chicago_Dallas,Trip_2,2022-01-15 10:30:00.301761,Oklahoma City,Oklahoma,35.4676,-97.5136
Dallas_Salt Lake City,Trip_1,2022-01-15 11:14:35.606637,Hays,Kansas,38.8821,-99.3221
Phoenix_San Antonio,Trip_2,2022-01-15 11:28:07.711715,Phoenix,Arizona,33.5722,-112.0892
Phoenix_San Antonio,Trip_1,2022-01-15 11:28:07.711715,Phoenix,Arizona,33.5722,-112.0892
Portland_Los Angeles,Trip_1,2022-01-15 22:50:13.016738,Salem,Oregon,44.9233,-123.0244
San Francisco_Salt Lake City,Trip_2,2022-01-16 01:54:19.183903,Sacramento,California,38.5677,-121.4685
Dallas_Salt Lake City,Trip_1,2022-01-16 06:13:06.414060,Salina,Kansas,38.8136,-97.6143
Phoenix_San Antonio,Trip_2,2022-01-16 06:50:02.936762,Tucson,Arizona,32.1541,-110.8787
Phoenix_San Antonio,Trip_2,2022-01-16 10:31:09.309298,Benson,Arizona,31.9157,-110.3257
Portland_Los Angeles,Trip_2,2022-01-16 10:42:14.899931,Portland,Oregon,45.5371,-122.65
Chicago_Dallas,Trip_2,2022-01-16 11:34:18.886211,Denton,Texas,33.2175,-97.1418
San Francisco_Salt Lake City,Trip_2,2022-01-16 12:22:22.906820,Auburn,California,38.895,-121.0777
Portland_Los Angeles,Trip_2,2022-01-16 14:42:06.408206,Salem,Oregon,44.9233,-123.0244
Portland_Los Angeles,Trip_2,2022-01-16 22:41:05.812970,Eugene,Oregon,44.0564,-123.1174
San Francisco_Salt Lake City,Trip_2,2022-01-16 23:27:17.442269,Truckee,California,39.3455,-120.1848
Dallas_Salt Lake City,Trip_1,2022-01-16 23:45:22.376205,Wichita,Kansas,37.6895,-97.3443
Phoenix_San Antonio,Trip_2,2022-01-17 02:13:34.416774,Willcox,Arizona,32.2515,-109.8359
San Francisco_Salt Lake City,Trip_2,2022-01-17 03:54:23.960797,Reno,Nevada,39.5497,-119.8483
Chicago_Dallas,Trip_2,2022-01-17 04:08:38.778607,Dallas,Texas,32.7935,-96.7667
Portland_Los Angeles,Trip_2,2022-01-17 04:09:06.274891,Roseburg,Oregon,43.2231,-123.352
San Francisco_Salt Lake City,Trip_2,2022-01-17 12:22:39.147012,Fernley,Nevada,39.5627,-119.1906
Phoenix_San Antonio,Trip_2,2022-01-17 16:43:27.877228,Lordsburg,New Mexico,32.3438,-108.7021
Dallas_Salt Lake City,Trip_1,2022-01-17 18:19:43.630014,Oklahoma City,Oklahoma,35.4676,-97.5136
Chicago_Dallas,Trip_2,2022-01-17 18:20:41.042146,Dallas,Texas,32.7935,-96.7667
San Francisco_Salt Lake City,Trip_2,2022-01-18 00:15:11.027884,Winnemucca,Nevada,40.9645,-117.7247
Chicago_Dallas,Trip_2,2022-01-18 01:07:32.823575,Denton,Texas,33.2175,-97.1418
Portland_Los Angeles,Trip_2,2022-01-18 05:45:20.407295,Ashland,Oregon,42.1905,-122.6992
Phoenix_San Antonio,Trip_2,2022-01-18 06:57:57.633935,Deming,New Mexico,32.2631,-107.7525
Dallas_Salt Lake City,Trip_1,2022-01-18 08:13:13.783559,Denton,Texas,33.2175,-97.1418
San Francisco_Salt Lake City,Trip_2,2022-01-18 10:28:02.157679,Elko,Nevada,40.8381,-115.7678
Chicago_Dallas,Trip_2,2022-01-18 13:21:53.497153,Oklahoma City,Oklahoma,35.4676,-97.5136
Portland_Los Angeles,Trip_2,2022-01-18 14:05:14.383563,Yreka,California,41.7291,-122.6312
Dallas_Salt Lake City,Trip_2,2022-01-18 16:49:55.009719,Dallas,Texas,32.7935,-96.7667
Dallas_Salt Lake City,Trip_1,2022-01-18 16:49:55.009719,Dallas,Texas,32.7935,-96.7667
San Francisco_Salt Lake City,Trip_2,2022-01-18 18:23:08.448472,Wendover,Utah,40.7241,-114.025
Phoenix_San Antonio,Trip_2,2022-01-18 23:42:32.507360,Las Cruces,New Mexico,32.3265,-106.7893
San Francisco_Salt Lake City,Trip_2,2022-01-19 01:38:32.563606,Salt Lake City,Utah,40.7776,-111.9311
San Francisco_Salt Lake City,Trip_2,2022-01-19 02:35:08.620247,Salt Lake City,Utah,40.7776,-111.9311
Portland_Los Angeles,Trip_2,2022-01-19 07:28:42.287477,Redding,California,40.5698,-122.365
Dallas_Salt Lake City,Trip_2,2022-01-19 09:56:44.267631,Denton,Texas,33.2175,-97.1418
Chicago_Dallas,Trip_2,2022-01-19 10:11:11.520409,Tulsa,Oklahoma,36.1283,-95.9042
San Francisco_Salt Lake City,Trip_2,2022-01-19 11:09:09.031517,Wendover,Utah,40.7241,-114.025
Phoenix_San Antonio,Trip_2,2022-01-19 12:45:07.454274,El Paso,Texas,31.8476,-106.43
Chicago_Dallas,Trip_2,2022-01-19 17:25:42.356403,Joplin,Missouri,37.0757,-94.5018
Portland_Los Angeles,Trip_2,2022-01-19 22:19:32.909152,Chico,California,39.7578,-121.8161
Chicago_Dallas,Trip_2,2022-01-20 04:05:51.089385,Springfield,Missouri,37.1943,-93.2916
San Francisco_Salt Lake City,Trip_2,2022-01-20 05:11:50.151631,Elko,Nevada,40.8381,-115.7678
Phoenix_San Antonio,Trip_2,2022-01-20 09:12:57.098155,Van Horn,Texas,31.0407,-104.8341
Dallas_Salt Lake City,Trip_2,2022-01-20 09:23:14.330020,Oklahoma City,Oklahoma,35.4676,-97.5136
Portland_Los Angeles,Trip_2,2022-01-20 11:26:03.507163,Stockton,California,37.9765,-121.3109
Portland_Los Angeles,Trip_2,2022-01-20 17:40:45.296182,Modesto,California,37.6375,-121.0028
Phoenix_San Antonio,Trip_2,2022-01-20 18:36:13.953961,Fort Stockton,Texas,30.8926,-102.8842
San Francisco_Salt Lake City,Trip_2,2022-01-20 20:48:59.406566,Winnemucca,Nevada,40.9645,-117.7247
Chicago_Dallas,Trip_2,2022-01-20 23:13:45.696588,Rolla,Missouri,37.9459,-91.7607
Portland_Los Angeles,Trip_2,2022-01-21 01:06:34.694051,Merced,California,37.3057,-120.4779
Phoenix_San Antonio,Trip_2,2022-01-21 07:44:35.395835,Ozona,Texas,30.7074,-101.206
San Francisco_Salt Lake City,Trip_2,2022-01-21 11:27:09.178456,Fernley,Nevada,39.5627,-119.1906
Chicago_Dallas,Trip_2,2022-01-21 12:21:04.660355,St. Louis,Missouri,38.6359,-90.2451
Portland_Los Angeles,Trip_2,2022-01-21 12:52:45.384678,Fresno,California,36.783,-119.7939
Dallas_Salt Lake City,Trip_2,2022-01-21 14:37:10.001837,Salina,Kansas,38.8136,-97.6143
Phoenix_San Antonio,Trip_2,2022-01-21 17:06:29.995476,Sonora,Texas,30.5707,-100.6423
Dallas_Salt Lake City,Trip_2,2022-01-22 00:17:05.423975,Hays,Kansas,38.8821,-99.3221
Phoenix_San Antonio,Trip_2,2022-01-22 01:57:03.495031,Junction,Texas,30.4906,-99.7726
San Francisco_Salt Lake City,Trip_2,2022-01-22 03:13:06.750637,Reno,Nevada,39.5497,-119.8483
Chicago_Dallas,Trip_2,2022-01-22 04:30:49.447682,Springfield,Illinois,39.7709,-89.654
Portland_Los Angeles,Trip_2,2022-01-22 04:55:58.122244,Bakersfield,California,35.3529,-119.0359
Dallas_Salt Lake City,Trip_2,2022-01-22 07:30:42.790649,Colby,Kansas,39.3848,-101.0452
Phoenix_San Antonio,Trip_2,2022-01-22 08:49:07.241146,Kerrville,Texas,30.0398,-99.132
Portland_Los Angeles,Trip_2,2022-01-22 12:20:58.600235,Santa Clarita,California,34.4175,-118.4964
Chicago_Dallas,Trip_2,2022-01-22 14:42:49.775918,Bloomington,Illinois,40.4757,-88.9703
Phoenix_San Antonio,Trip_2,2022-01-22 16:22:37.386544,Boerne,Texas,29.7847,-98.7292
San Francisco_Salt Lake City,Trip_2,2022-01-22 16:38:28.750059,Truckee,California,39.3455,-120.1848
Chicago_Dallas,Trip_2,2022-01-22 23:08:11.332093,Chicago,Illinois,41.8375,-87.6866
Chicago_Dallas,Trip_3,2022-01-22 23:08:11.332093,Chicago,Illinois,41.8375,-87.6866
Dallas_Salt Lake City,Trip_2,2022-01-22 23:12:41.288291,Denver,Colorado,39.762,-104.8758
Portland_Los Angeles,Trip_2,2022-01-23 00:55:04.977785,Los Angeles,California,34.1141,-118.4068
San Francisco_Salt Lake City,Trip_2,2022-01-23 06:12:43.514256,Auburn,California,38.895,-121.0777
Portland_Los Angeles,Trip_2,2022-01-23 06:44:09.850862,Los Angeles,California,34.1141,-118.4068
Phoenix_San Antonio,Trip_2,2022-01-23 07:23:34.994858,San Antonio,Texas,29.4632,-98.5238
San Francisco_Salt Lake City,Trip_2,2022-01-23 14:35:11.480946,Sacramento,California,38.5677,-121.4685
Dallas_Salt Lake City,Trip_2,2022-01-23 18:42:47.262922,Cheyenne,Wyoming,41.135,-104.7902
Portland_Los Angeles,Trip_2,2022-01-23 18:48:53.131002,Santa Clarita,California,34.4175,-118.4964
Phoenix_San Antonio,Trip_2,2022-01-23 20:39:39.911915,San Antonio,Texas,29.4632,-98.5238
Chicago_Dallas,Trip_3,2022-01-23 21:36:40.111539,Bloomington,Illinois,40.4757,-88.9703
San Francisco_Salt Lake City,Trip_2,2022-01-24 01:10:45.528288,Davis,California,38.5553,-121.737
Portland_Los Angeles,Trip_2,2022-01-24 03:43:15.915468,Bakersfield,California,35.3529,-119.0359
Chicago_Dallas,Trip_3,2022-01-24 05:50:40.996879,Springfield,Illinois,39.7709,-89.654
Phoenix_San Antonio,Trip_2,2022-01-24 07:20:40.049359,Boerne,Texas,29.7847,-98.7292
San Francisco_Salt Lake City,Trip_2,2022-01-24 10:27:17.131294,Vacaville,California,38.3587,-121.9673
Dallas_Salt Lake City,Trip_2,2022-01-24 11:52:59.162126,Laramie,Wyoming,41.3099,-105.6085
Portland_Los Angeles,Trip_2,2022-01-24 18:55:17.942339,Fresno,California,36.783,-119.7939
Chicago_Dallas,Trip_3,2022-01-24 19:23:14.668797,St. Louis,Missouri,38.6359,-90.2451
Dallas_Salt Lake City,Trip_2,2022-01-24 21:52:46.753352,Rawlins,Wyoming,41.7849,-107.2265
San Francisco_Salt Lake City,Trip_2,2022-01-24 22:08:40.053199,Fairfield,California,38.2583,-122.0335
Phoenix_San Antonio,Trip_2,2022-01-25 03:04:00.028890,Sonora,Texas,30.5707,-100.6423
San Francisco_Salt Lake City,Trip_2,2022-01-25 05:31:30.734352,Oakland,California,37.7904,-122.2166
San Francisco_Salt Lake City,Trip_3,2022-01-25 07:46:27.548520,San Francisco,California,37.7558,-122.4449
Portland_Los Angeles,Trip_2,2022-01-25 12:30:33.049677,Merced,California,37.3057,-120.4779
Phoenix_San Antonio,Trip_2,2022-01-25 13:29:39.178416,Ozona,Texas,30.7074,-101.206
Chicago_Dallas,Trip_3,2022-01-25 15:01:20.625739,Rolla,Missouri,37.9459,-91.7607
Dallas_Salt Lake City,Trip_2,2022-01-25 17:13:15.982988,Rock Springs,Wyoming,41.5947,-109.2209
San Francisco_Salt Lake City,Trip_3,2022-01-25 22:53:24.245187,Oakland,California,37.7904,-122.2166
Phoenix_San Antonio,Trip_2,2022-01-26 00:43:11.446147,Fort Stockton,Texas,30.8926,-102.8842
Dallas_Salt Lake City,Trip_2,2022-01-26 03:39:01.011090,Evanston,Wyoming,41.2602,-110.9646
San Francisco_Salt Lake City,Trip_3,2022-01-26 07:04:59.021036,Fairfield,California,38.2583,-122.0335
Chicago_Dallas,Trip_3,2022-01-26 09:22:46.828163,Springfield,Missouri,37.1943,-93.2916
Phoenix_San Antonio,Trip_2,2022-01-26 14:32:17.990469,Van Horn,Texas,31.0407,-104.8341
Portland_Los Angeles,Trip_2,2022-01-26 14:49:09.167744,Stockton,California,37.9765,-121.3109
San Francisco_Salt Lake City,Trip_3,2022-01-26 16:04:28.992011,Davis,California,38.5553,-121.737
Portland_Los Angeles,Trip_2,2022-01-26 20:36:43.375938,Sacramento,California,38.5677,-121.4685
Dallas_Salt Lake City,Trip_2,2022-01-26 22:45:13.365743,Salt Lake City,Utah,40.7776,-111.9311
Chicago_Dallas,Trip_3,2022-01-27 01:24:38.027863,Joplin,Missouri,37.0757,-94.5018
San Francisco_Salt Lake City,Trip_3,2022-01-27 01:25:16.515220,Sacramento,California,38.5677,-121.4685
Phoenix_San Antonio,Trip_2,2022-01-27 04:07:07.867604,El Paso,Texas,31.8476,-106.43
Chicago_Dallas,Trip_3,2022-01-27 10:28:53.222195,Tulsa,Oklahoma,36.1283,-95.9042
Dallas_Salt Lake City,Trip_2,2022-01-27 13:15:37.363370,Salt Lake City,Utah,40.7776,-111.9311
Portland_Los Angeles,Trip_2,2022-01-27 16:51:14.928425,Chico,California,39.7578,-121.8161
San Francisco_Salt Lake City,Trip_3,2022-01-27 17:05:44.840907,Truckee,California,39.3455,-120.1848
Dallas_Salt Lake City,Trip_2,2022-01-27 19:49:08.387467,Evanston,Wyoming,41.2602,-110.9646
